rank,address,wallet,buy_tx,buy_block,usdc,venue,nonce,eth
309,0xfbdfe168d0556365b011d78bdd8c771017ee0088,delegated,0xfdad6e194018cb9c48b9c37cdce877c0f2d75d490290e967e1e1e937e63db232,49969829,1162.204358,LI.FI diamond,242,0.001786055389651969
310,0x8a929195274cb1ca892cab97ff3080a503c35820,delegated,0xdf9efc98485602893133f4476405c773e76c6dfa030deb37ec49690caef8826a,49969814,374.227257,LI.FI diamond,467,0.000408517768126717
311,0x9b4202aa69cad363b604d044c604c618104192d9,delegated,0xa7fe2f1c8eac059012dbfe020bc920648cbbabd85693154fa66ad71405288004,49969784,500,LI.FI diamond,581,0.017317970681696684
312,0xce10c23561dce134ae20b32f8166a131c741f463,plain,0x80031984fcc9d1e569c8a041945b74dc88af060b3381ccac3fea52aa5685163f,49969636,501.357126,LI.FI diamond,1701,0.18794312584970932
313,0xad6734ab50df91280f554859f6f795b83544dab2,delegated,0x5a6f5c96546e37be0105251e4825aca196ddc70ad331610cdc4f5daaba2424a7,49969623,297.449066,LI.FI diamond,12,0.000099712730858534
314,0x5f63c33c985b0e8dd4fc846cac41423a3875e57b,delegated,0x24648081a2ffb8b241d22e23b7b5fd24a31f1ed26f29547ad397b9c47ffb0c2b,49969223,307.010936,LI.FI diamond,263,0.000206982733400094
315,0xa6c5032c6f4b50a2557d9aa67e58e04b85d2ad0b,delegated,0x7a24f23831c6bee0a9a937ffdfc1bc1be0ea452d68b9e91f8df38997b416ffe5,49969210,246.316988,LI.FI diamond,20,3.62247374284e-7
316,0xa1a68b280f702c099c5ad47a87392c90fdb37ee2,delegated,0x0452ab31f19fa5bebc6c77d329e6d21ae1745fbd6c487e67ccae28bb35d954a0,49968813,579.156232,LI.FI diamond,188,0.000482514407744
317,0x73e3a22e9aec8a56818b9528e32aaea839a593d5,delegated,0x4b3a35cfc71d5fb4a910ec162fe4271d5663745c7ecc76bdc60452a8deeef98b,49968443,617.356391,LI.FI diamond,6285,0.040755820988596946
318,0xd7b36133ecfc79053b942750ed85a2dd99e70a39,delegated,0xc2a65eef0f499fd4db89bee2ff42da63176affb51326b9fa523eedafc48806a4,49968185,735,LI.FI diamond,352,0.001809413459059795
319,0x7a8a5731cf67f906dfd575e6f1b8314ad391e602,delegated,0xdfd508c7ecbf5705d63a1ef86475cc00e7da79a3be20225d0f26a4c6699b8072,49968168,1600,LI.FI diamond,6,6.663063595e-8
320,0xea1239b7e46f68063c3e6776db7c21bdd939fb81,plain,0x6892c0252418b0def6496531a91d51d132ffb1c4725e6f58e879f47264379619,49967917,1000,LI.FI diamond,15,0.01607941122760431
321,0x0fc5529117edb4f728d0b8ff82b63fceb10869d0,delegated,0x4bea2096c1cf4d04a5593b1720882a9ca6d87c9815af45a733e4beb7838c7086,49967710,1000,LI.FI diamond,1896,0.02030332644565848
322,0x1bb8288153a0d4ad8dbb1fea6e87d3ad4b92aa1e,delegated,0x6c8ad4a4968097d402077b453a7b40c1d86756236bac1a5347c782bf6c668b54,49967463,1999,LI.FI diamond,46,7.28140791352e-7
323,0xe7bede38dbe553f71336b4e008f929b0155d78b0,delegated,0x7e2303e317dcc40252f9e4d5123b8580122692637cb747a5d4995b7a6f86036f,49967462,250,LI.FI diamond,139,0.000324816309299262
324,0xd65157ea3e4e4ada9720e55032f45db99ce9ec8d,delegated,0xa58be8a7b4193278ea7207ba39c991b4b1d0b72d6e7fe5e4016706d7273c2faa,49967157,499.9986,LI.FI diamond,6610,0.012805654330007472
325,0xbae7dcb9efb17fa81de626631a93a86ec19f31ef,plain,0x6323c1eed6d113409eb7a859db54198b694a0e93218915e7c3b41960461ab211,49967156,1517.0726,LI.FI diamond,108,0.000598065658944706
326,0x3439fb92ab36a208a454115931101dcc7cff3775,delegated,0x5a94923dea32f8a64f0d6438bbefe8b4134a2a2b64cfb877b6ebc93ca20a9e43,49967121,355,LI.FI diamond,14,0.000195430051039635
327,0x7d9d0da1ad30d4a707a473c9e91ecc100ff065ef,delegated,0x1cc21e5502f88a30347fc1b5cede75c895461993233eab232472c3c629db33ca,49967074,1000,LI.FI diamond,966,0.001483906996002217
328,0x9f2eaf590e91fae287240c3ec87fcb62cf859a52,delegated,0x0bbbb56bfe28736da3f9c5160fa54ea8866d3408be6423fd0fa0559a905a2271,49967043,1698.73016,LI.FI diamond,6,0.002542056994809079
329,0x2ade532767eedf288bf5fd44edfdfecea8803829,delegated,0xadf2b1d4e1d5fa7286f5fb7a9c5e34d0a08a7c93dc3823272550f8638348eaf0,49966512,525,LI.FI diamond,363,0.14370623968726262
330,0xf3f6a4d1c0a3ef76951a96de4c20365b55ee0f32,delegated,0x94a10a4f4b96a5c0b5be7573232f21de24ecd29de2cb73f950db0c079d292f23,49966076,640.523758,LI.FI diamond,15,0.019932486900351792
331,0xf283a9cb74336310a3b86c804cbf4f7574f87b46,delegated,0xada860a4e9ce687a0951435566356711badeffe31d08e0c32428ac36edeb8923,49965675,294,LI.FI diamond,191,0.13925751595212552
332,0x36a8bb884431a237d65da2a352d012432942ff5a,delegated,0xb36d281603e5c80b9d2f4a2b0b8c0e691c60a09be080154ab7d63c08cb91eebe,49964769,13204.306646,LI.FI diamond,149,0.000767181826910921
